Date,MSCI ACWI Monthly_Return,CSV,VIX Index,Turbulence Index
31/12/1999,0.0832,0.20777189,24.64,23.80993272
31/01/2000,-0.0545,0.162433775,24.95,10.31087223
29/02/2000,0.0033,0.179982716,23.37,17.27241318
31/03/2000,0.0664,0.170786177,24.11,14.33491461
30/04/2000,-0.0446,0.129364715,26.2,8.342744087
31/05/2000,-0.0249,0.150569699,23.65,9.279616864
30/06/2000,0.0341,0.144761192,19.54,9.681670113
31/07/2000,-0.0296,0.121703559,20.74,72.33059913
31/08/2000,0.0315,0.122058554,16.84,5.391484387
30/09/2000,-0.0549,0.11657213,20.57,11.49207927
31/10/2000,-0.02,0.131334512,23.63,7.268413657
30/11/2000,-0.062,0.144645888,29.65,9.114666083
31/12/2000,0.0163,0.141085765,26.85,11.0365359
31/01/2001,0.0255,0.208769413,22.02,11.21582195
28/02/2001,-0.0839,0.136292342,28.35,8.919066699
31/03/2001,-0.0672,0.125936676,28.64,6.87063121
30/04/2001,0.073,0.141078371,25.48,9.537192268
31/05/2001,-0.0109,0.127040876,22.64,4.441246485
30/06/2001,-0.0303,0.104225213,19.06,5.409582806
31/07/2001,-0.0157,0.127213372,21.62,7.636357211
31/08/2001,-0.0458,0.116240984,24.92,5.365905719
30/09/2001,-0.0914,0.128243082,31.93,15.6787544
31/10/2001,0.0214,0.153315821,33.56,7.858924939
30/11/2001,0.0617,0.149563512,23.84,11.32732138
31/12/2001,0.0095,0.118006228,23.8,4.859599665
31/01/2002,-0.0274,0.129261087,21.09,9.516874555
28/02/2002,-0.0074,0.114172768,21.59,6.729364254
31/03/2002,0.0453,0.111592519,17.4,7.177032673
30/04/2002,-0.0317,0.119117477,21.91,8.839735945
31/05/2002,0.0014,0.11652679,19.98,9.065058242
30/06/2002,-0.0609,0.106894601,25.4,9.078129326
31/07/2002,-0.0838,0.12459933,32.03,14.61226981
31/08/2002,0.0027,0.112262934,32.64,7.701719618
30/09/2002,-0.1096,0.221960775,39.69,9.082990986
31/10/2002,0.0736,0.165979056,31.14,27.50742506
30/11/2002,0.0547,0.154446785,27.5,16.586556
31/12/2002,-0.0474,0.210812867,28.62,7.050172933
31/01/2003,-0.0292,0.108281932,31.17,7.059967585
28/02/2003,-0.0171,0.098558464,29.63,4.989322213
31/03/2003,-0.0042,0.100499259,29.15,5.225292352
30/04/2003,0.0894,0.141973186,21.21,15.56130491
31/05/2003,0.0583,0.115456363,19.47,11.63126158
30/06/2003,0.0193,0.093834798,19.52,8.28960216
31/07/2003,0.0222,0.092010019,19.49,8.937363386
31/08/2003,0.0238,0.098580463,18.63,7.909229724
30/09/2003,0.0065,0.089757419,22.72,7.705425787
31/10/2003,0.0607,0.096767358,16.1,7.874280899
30/11/2003,0.0153,0.079684967,16.32,4.563746495
31/12/2003,0.0637,0.093829598,18.31,7.015252642
31/01/2004,0.017,0.091798177,16.63,6.302026755
29/02/2004,0.0184,0.076077349,14.55,4.437903756
31/03/2004,-0.0053,0.128955658,16.74,9.650405986
30/04/2004,-0.023,0.081303767,17.19,6.731460335
31/05/2004,0.0085,0.078174022,15.5,3.251037749
30/06/2004,0.0203,0.067385885,14.34,4.736986051
31/07/2004,-0.0317,0.079780707,15.32,4.779419064
31/08/2004,0.0066,0.072428752,15.29,3.120832153
30/09/2004,0.0212,0.116480077,13.34,4.528359979
31/10/2004,0.0246,0.075348976,16.27,4.031441439
30/11/2004,0.055,0.07829135,13.24,7.515491218
31/12/2004,0.0392,0.068561895,13.29,4.176881434
31/01/2005,-0.0211,0.076044085,12.82,4.207365107
28/02/2005,0.0351,0.080088515,12.08,4.254007147
31/03/2005,-0.0215,0.069232156,14.02,4.807588017
30/04/2005,-0.0214,0.071767899,15.31,7.04639058
31/05/2005,0.0195,0.075257052,13.29,6.40317809
30/06/2005,0.0106,0.068302357,12.04,5.608689097
31/07/2005,0.0373,0.076091972,11.57,5.857548234
31/08/2005,0.0082,0.080550903,12.6,6.743676048
30/09/2005,0.0304,0.09344472,11.92,9.973449414
31/10/2005,-0.0267,0.073419397,15.32,12.41625544
30/11/2005,0.037,0.087195671,12.06,7.908249451
31/12/2005,0.025,0.078960641,12.07,8.155378705
31/01/2006,0.0493,0.09927556,12.95,8.108525444
28/02/2006,-0.0011,0.07891543,12.34,7.633587254
31/03/2006,0.0216,0.078837732,11.39,4.704272469
30/04/2006,0.0338,0.083054969,11.59,3.797250043
31/05/2006,-0.0386,0.083078751,16.44,10.34410584
30/06/2006,0,0.069573494,13.08,5.27352612
31/07/2006,0.0071,0.079748534,14.95,7.243694366
31/08/2006,0.0265,0.073298618,12.31,7.970321381
30/09/2006,0.012,0.071381372,11.98,6.771501569
31/10/2006,0.0377,0.076050447,11.1,5.338540502
30/11/2006,0.0288,0.079920592,10.91,5.769210345
31/12/2006,0.0228,0.074444272,11.56,4.375553321
31/01/2007,0.0101,0.079741437,10.42,5.537240901
28/02/2007,-0.0048,0.076389757,15.42,7.693532372
31/03/2007,0.0205,0.071851536,14.64,5.743959214
30/04/2007,0.0449,0.081415802,14.22,8.92397054
31/05/2007,0.0308,0.088089082,13.05,3.71079852
30/06/2007,-0.0026,0.075917448,16.23,5.035438718
31/07/2007,-0.0151,0.094390379,23.52,9.607173524
31/08/2007,-0.0022,0.080230795,23.38,6.83183022
30/09/2007,0.0541,0.097999993,18,8.33615846
31/10/2007,0.0393,0.112858974,18.53,9.904706507
30/11/2007,-0.0432,0.09209686,22.87,12.91541873
31/12/2007,-0.0105,0.085622008,22.5,6.413552259
31/01/2008,-0.0818,0.114097926,26.2,18.42293264
29/02/2008,0.0033,0.126753646,26.54,12.9396367
31/03/2008,-0.0141,0.101720555,25.61,11.11807755
30/04/2008,0.0565,0.11811361,20.79,16.25806042
31/05/2008,0.0169,0.09859778,17.83,7.089544128
30/06/2008,-0.0818,0.098129721,23.95,26.32660936
31/07/2008,-0.0256,0.120210964,22.94,14.45686062
31/08/2008,-0.0211,0.098624763,20.65,11.45794388
30/09/2008,-0.1245,0.135749778,39.39,24.3553483
31/10/2008,-0.1979,0.15674602,59.89,46.20362324
30/11/2008,-0.065,0.15503108,55.84,26.88644032
31/12/2008,0.0369,0.161988506,40,16.69928071
31/01/2009,-0.0853,0.128367319,44.84,23.34270902
28/02/2009,-0.0972,0.13752874,46.35,21.95707132
31/03/2009,0.0831,0.219912942,44.14,28.21759261
30/04/2009,0.1189,0.202848914,36.5,51.61944371
31/05/2009,0.1009,0.150609071,28.92,17.83596432
30/06/2009,-0.0051,0.093355339,26.35,5.176891791
31/07/2009,0.0884,0.106994029,25.92,10.40294208
31/08/2009,0.0363,0.108604837,26.01,27.98034692
30/09/2009,0.0462,0.090067823,25.61,6.42656772
31/10/2009,-0.0152,0.083028098,30.69,5.121446685
30/11/2009,0.0417,0.085329198,24.51,8.925651726
31/12/2009,0.0212,0.080163558,21.68,5.716566505
31/01/2010,-0.0431,0.076818419,24.62,6.736012715
28/02/2010,0.0131,0.071035085,19.5,4.774774469
31/03/2010,0.0649,0.071218483,17.59,3.310630118
30/04/2010,0.0022,0.073890582,22.05,3.380901717
31/05/2010,-0.0939,0.06916108,32.07,5.124290095
30/06/2010,-0.0303,0.072881115,34.54,3.770670279
31/07/2010,0.0817,0.085372846,23.5,12.7347786
31/08/2010,-0.0345,0.075684772,26.05,3.42578741
30/09/2010,0.0961,0.07806081,23.7,10.10116886
31/10/2010,0.0364,0.065168296,21.2,2.734092541
30/11/2010,-0.0218,0.080718567,23.54,8.817193651
31/12/2010,0.0738,0.07631849,17.75,6.615883992
31/01/2011,0.0158,0.084689245,19.53,6.634524806
28/02/2011,0.0295,0.075016409,18.35,3.522278089
31/03/2011,-0.0005,0.087841136,17.74,8.317997198
30/04/2011,0.0414,0.070919555,14.75,7.729523062
31/05/2011,-0.0205,0.066707553,15.45,2.34929568
30/06/2011,-0.0153,0.065162049,16.52,4.479594159
31/07/2011,-0.0159,0.083752071,25.25,7.836957442
31/08/2011,-0.0725,0.095978561,31.62,7.965771251
30/09/2011,-0.0939,0.107687446,42.96,9.690183973
31/10/2011,0.1073,0.121804113,29.96,20.41020383
30/11/2011,-0.0293,0.085568816,27.8,6.770876785
31/12/2011,-0.0015,0.070964693,23.4,6.094904193
31/01/2012,0.0583,0.103883658,19.44,16.27828555
29/02/2012,0.0509,0.083943096,18.43,9.116735045
31/03/2012,0.0072,0.073481092,15.5,5.646975403
30/04/2012,-0.0109,0.073043904,17.15,7.056468213
31/05/2012,-0.0887,0.084516334,24.06,9.000929028
30/06/2012,0.0499,0.07963632,17.08,10.25836749
31/07/2012,0.014,0.079331161,18.93,14.32454586
31/08/2012,0.0224,0.076353223,17.47,7.585158856
30/09/2012,0.032,0.222348215,15.73,5.244702125
31/10/2012,-0.0064,0.077695231,18.6,6.152477959
30/11/2012,0.0135,0.078373319,15.87,9.913668084
31/12/2012,0.0233,0.070136081,18.02,11.25717616
31/01/2013,0.0463,0.077655188,14.28,8.258451183
28/02/2013,0.0003,0.072303231,15.51,6.716469556
31/03/2013,0.0189,0.076682814,12.7,12.83264169
30/04/2013,0.0291,0.090180811,13.52,14.789428
31/05/2013,-0.0019,0.089273657,16.3,26.32698579
30/06/2013,-0.0288,0.073587884,16.86,7.801501441
31/07/2013,0.0483,0.084631963,13.45,5.304853534
31/08/2013,-0.0203,0.075026039,17.01,8.842830355
30/09/2013,0.0522,0.070685743,16.6,9.795911268
31/10/2013,0.0405,0.067997401,13.75,4.447986602
30/11/2013,0.0147,0.069193486,13.7,5.736386788
31/12/2013,0.0178,0.061363939,13.72,3.263198329
31/01/2014,-0.0398,0.074177246,18.41,7.775172779
28/02/2014,0.0488,0.071893894,14,5.954741704
31/03/2014,0.0051,0.07456178,13.88,3.874199763
30/04/2014,0.01,0.063999533,13.41,3.76593014
31/05/2014,0.0222,0.070838073,11.4,3.921126922
30/06/2014,0.0192,0.063928214,11.57,4.760443209
31/07/2014,-0.0117,0.074833365,16.95,5.563981717
31/08/2014,0.0226,0.063312818,11.98,4.293282538
30/09/2014,-0.0319,0.070791704,16.31,7.794166954
31/10/2014,0.0073,0.079671451,14.03,6.186654928
30/11/2014,0.0173,0.078679596,13.33,10.85809628
31/12/2014,-0.0188,0.073580877,19.2,3.381987523
31/01/2015,-0.0154,0.086980047,20.97,14.82673938
28/02/2015,0.0561,0.081177084,13.34,10.6690312
31/03/2015,-0.0147,0.070769697,15.29,7.022960546
30/04/2015,0.0295,0.119197664,14.55,14.21259331
31/05/2015,-0.0005,0.072901569,13.84,7.810689445
30/06/2015,-0.0231,0.065102665,18.23,6.965882339
31/07/2015,0.0091,0.094285028,12.12,15.17878794
31/08/2015,-0.0681,0.080706386,28.43,15.62491735
30/09/2015,-0.0357,0.08091736,24.5,12.25898133
31/10/2015,0.0788,0.08267525,15.07,14.49658377
30/11/2015,-0.0077,0.082882621,16.13,5.944267424
31/12/2015,-0.0176,0.077073883,18.21,6.584427889
31/01/2016,-0.06,0.092220476,20.2,17.10074363
29/02/2016,-0.0063,0.096242381,20.55,13.00722567
31/03/2016,0.0748,0.093603267,13.95,12.75564142
30/04/2016,0.0153,0.083571582,15.7,11.62837011
31/05/2016,0.0022,0.079513915,14.19,5.911501097
30/06/2016,-0.0055,0.094838777,15.63,22.07810466
31/07/2016,0.0436,0.076194359,11.87,10.04735113
31/08/2016,0.0039,0.077025544,13.42,13.24248916
30/09/2016,0.0066,0.059388709,13.29,5.061188481
31/10/2016,-0.0167,0.072681286,17.06,9.504611569
30/11/2016,0.0082,0.093762423,13.33,16.42490217
31/12/2016,0.022,0.062630335,14.04,7.380034464
31/01/2017,0.0276,0.070505471,11.99,7.591943846
28/02/2017,0.0285,0.061810765,12.92,4.453232998
31/03/2017,0.013,0.065152707,12.63,8.807820718
30/04/2017,0.0161,0.056598899,10.82,3.55152809
31/05/2017,0.023,0.078271984,10.41,7.41595508
30/06/2017,0.005,0.062053643,11.18,2.98485182
31/07/2017,0.0283,0.067665112,10.26,4.558064866
31/08/2017,0.0044,0.070040995,10.59,6.194315688
30/09/2017,0.0198,0.070108306,9.51,7.153026421
31/10/2017,0.021,0.068695169,10.18,3.909940442
30/11/2017,0.0199,0.075898855,11.28,7.063993091
31/12/2017,0.0166,0.079670298,11.04,5.862577928
31/01/2018,0.0566,0.085528099,13.54,6.113997544
28/02/2018,-0.0416,0.065187894,19.85,7.564669925
31/03/2018,-0.0207,0.069168782,19.97,4.609085646
30/04/2018,0.0101,0.073893841,15.93,7.944975063
31/05/2018,0.0021,0.088713516,15.43,12.17854328
30/06/2018,-0.005,0.079260601,16.09,7.191419248
31/07/2018,0.0305,0.074858038,12.83,7.088899602
31/08/2018,0.0084,0.08675027,12.86,10.7927211
30/09/2018,0.0048,0.073236003,12.12,6.35553399
31/10/2018,-0.0747,0.094054304,21.23,14.87638348
30/11/2018,0.0152,0.092168382,18.07,12.27127273
31/12/2018,-0.07,0.075381605,25.42,16.83986381
31/01/2019,0.0793,0.088280219,16.57,13.19402469
28/02/2019,0.0273,0.089920105,14.78,5.780149915
31/03/2019,0.0133,0.077113177,13.71,4.002109668
30/04/2019,0.0343,0.07469889,13.12,10.02918414
31/05/2019,-0.0585,0.085997916,18.71,12.85644213
30/06/2019,0.066,0.068332734,15.08,9.788697151
31/07/2019,0.0033,0.073339908,13.94,6.105548152
31/08/2019,-0.0232,0.088624074,18.98,11.77816993
30/09/2019,0.0216,0.071147398,16.24,8.22303425
31/10/2019,0.0276,0.089239368,13.22,8.382506281
30/11/2019,0.0249,0.075973977,12.62,5.152165537
31/12/2019,0.0356,0.072550238,13.78,4.513091154
31/01/2020,-0.0108,0.096065769,18.84,10.3346322
29/02/2020,-0.0804,0.090778511,40.11,21.38505016
31/03/2020,-0.1344,0.15340669,53.54,55.28089959
30/04/2020,0.1078,0.134012391,34.15,30.80346303
31/05/2020,0.0441,0.099295442,27.51,5.248822287
30/06/2020,0.0324,0.097781109,30.43,8.672336296
31/07/2020,0.0533,0.12469209,24.46,16.06529168
31/08/2020,0.0616,0.097016409,26.41,12.86067376
30/09/2020,-0.0318,0.079465867,26.37,5.975455239
31/10/2020,-0.0241,0.084468051,38.02,9.407587646
30/11/2020,0.1236,0.135312907,20.57,40.27520212
31/12/2020,0.047,0.103857515,22.75,10.2929788
31/01/2021,-0.0044,0.100539722,33.09,9.57535109
28/02/2021,0.0235,0.105196928,27.95,16.52108765
31/03/2021,0.0274,0.09626471,19.4,9.097335817
30/04/2021,0.0441,0.091628984,18.61,4.965832688
31/05/2021,0.0161,0.087516238,16.76,7.231687814
30/06/2021,0.0136,0.091257462,15.83,5.789805484
31/07/2021,0.0072,0.114660911,18.24,5.549820209
31/08/2021,0.0254,0.101730158,16.48,7.479617785
30/09/2021,-0.0408,0.094236787,23.14,12.18537629
31/10/2021,0.0513,0.093762874,16.26,6.688444457
30/11/2021,-0.0237,0.094637781,27.19,8.813580876
31/12/2021,0.0404,0.091197738,17.22,5.933902185
31/01/2022,-0.0489,0.110638711,24.83,17.76200023
28/02/2022,-0.0255,0.107000595,30.15,8.701305535
31/03/2022,0.0223,0.106059005,20.56,9.135542383
30/04/2022,-0.0797,0.093662858,33.4,13.15077047
31/05/2022,0.0019,0.093067348,26.19,9.247317195
30/06/2022,-0.0839,0.123185621,28.71,12.05394175
31/07/2022,0.0702,0.107210854,21.33,12.39012354
31/08/2022,-0.0364,0.085360842,25.87,7.886902786
30/09/2022,-0.0952,0.081134307,31.62,13.56157052
31/10/2022,0.0606,0.12169032,25.88,10.37023592
30/11/2022,0.0781,0.151598231,20.58,14.43255497
31/12/2022,-0.039,0.081527032,21.67,7.522292445
31/01/2023,0.072,0.092507783,19.4,11.60313996
28/02/2023,-0.0283,0.077339142,20.7,4.602467584
31/03/2023,0.0316,0.096766195,18.7,12.10973323
30/04/2023,0.0148,0.080716842,15.78,5.574393905
31/05/2023,-0.01,0.094633457,17.94,13.25519344
30/06/2023,0.0585,0.086470243,13.59,8.147237324
31/07/2023,0.0369,0.090773847,13.63,3.532802887
31/08/2023,-0.0275,0.0775004,13.57,5.829670748
30/09/2023,-0.0409,0.066802902,17.52,4.431264728
31/10/2023,-0.0299,0.079632519,18.14,5.893474348
30/11/2023,0.0928,0.102145958,12.92,11.16719141
31/12/2023,0.0484,0.083599905,12.45,9.547507063
31/01/2024,0.0061,0.105663805,14.35,9.368761706
29/02/2024,0.0433,0.10087016,13.4,7.493987198
31/03/2024,0.0321,0.085972178,13.01,6.010326564
30/04/2024,-0.0326,0.084162914,15.65,10.07099242
31/05/2024,0.0412,0.085328597,12.92,8.417953041
30/06/2024,0.0226,0.083163862,12.44,6.670440064
31/07/2024,0.0164,0.086617612,16.36,11.34833034
31/08/2024,0.0258,0.082941936,15,8.000649168
30/09/2024,0.0237,0.12808905,16.73,5.810979928
31/10/2024,-0.0221,0.091037654,23.16,6.935426676
30/11/2024,0.0377,0.097302063,13.51,12.69224307
31/12/2024,-0.0233,0.077932166,17.35,10.77072762
31/01/2025,0.0338,0.085238456,16.43,6.713260616
28/02/2025,-0.0057,0.093758606,19.63,7.831073229
31/03/2025,-0.0389,0.090635434,22.28,7.932033234
30/04/2025,0.0098,0.088539611,24.7,13.44438394
31/05/2025,0.0581,0.085890401,18.57,5.483721978
30/06/2025,0.0453,0.080455255,16.73,8.048039703
31/07/2025,0.0139,0.094772671,16.72,6.831523269
31/08/2025,0.0252,0.102049243,15.36,11.56685443
30/09/2025,0.0366,0.098371576,16.28,9.945465938
31/10/2025,0.022555001,0.09630563,17.44,10.82460329
30/11/2025,0.000169,0.08477679,16.35,9.434824717
31/12/2025,0.010739,0.076801675,14.95,6.062385664
